name,come,wait,begin,finish
doc02,20.016022678459827,0.0,20.016022678459827,22.11226160142081
doc00,22.1742723090967,0.0,22.1742723090967,33.29475325888992
doc01,24.380214214052017,0.0,24.380214214052017,26.614751694847286
doc06,27.49369781236127,0.0,27.49369781236127,30.585912411266815
doc04,28.188852888938488,2.397059522328327,30.585912411266815,33.6390991048579
doc05,29.750598400047352,3.5441548588425675,33.29475325888992,46.957420162412625
doc07,33.74698365645982,0.0,33.74698365645982,36.08442173024643
doc11,35.3408209902735,0.7436007399729334,36.08442173024643,41.2035740147645
doc03,35.36932151126955,5.834252503494952,41.2035740147645,43.82871726953483
doc08,36.958119844427706,6.870597425107121,43.82871726953483,54.32227496105011
doc12,51.725317533530216,0.0,51.725317533530216,57.299089357231196
doc10,56.0588580644865,0.0,56.0588580644865,58.27148651610311
doc15,68.38170026287919,0.0,68.38170026287919,73.81325621607834
doc18,73.77242548341596,0.0,73.77242548341596,77.42171479124745
doc09,75.84412157559765,0.0,75.84412157559765,83.6859015629303
doc14,84.04918820381013,0.0,84.04918820381013,89.74654071764098
doc23,90.21716815895506,0.0,90.21716815895506,93.38469809658451
doc19,102.41545712928702,0.0,102.41545712928702,105.23721344907806
doc24,107.39028836180661,0.0,107.39028836180661,113.49436713166426
doc26,108.33830919130153,0.0,108.33830919130153,118.03773904729321
doc27,124.62206730358807,0.0,124.62206730358807,128.35288763642498
doc13,136.48168128054294,0.0,136.48168128054294,140.59319066932704
doc31,137.1751939693267,0.0,137.1751939693267,141.0009342994017
doc17,140.50887576073666,0.08431490859038604,140.59319066932704,147.80311126339907
doc38,144.73774268491022,0.0,144.73774268491022,149.24033301600915
doc44,144.80997140620937,2.9931398571897034,147.80311126339907,160.04564184889333
doc39,156.03372473170376,0.0,156.03372473170376,160.60440623949773
doc45,159.92371068948566,0.12193115940766575,160.04564184889333,163.7423015877841
doc40,162.79077487524867,0.0,162.79077487524867,174.22311936948861
doc53,170.81874179883744,0.0,170.81874179883744,175.5264488329648
doc48,179.5860154737718,0.0,179.5860154737718,184.21564504872842
doc50,180.1658703895458,0.0,180.1658703895458,187.90089284494331
doc55,180.33488472222825,3.880760326500166,184.21564504872842,186.58155690454308
doc54,185.92936177508952,0.6521951294535597,186.58155690454308,193.33552681555173
doc36,187.23579263023356,0.6651002147097529,187.90089284494331,198.69448558650723
doc52,192.71896112680813,0.6165656887436057,193.33552681555173,198.59246986692648
doc57,193.82622538811,4.766244478816475,198.59246986692648,202.56963027755913
doc51,195.00579502852548,3.6886905579817437,198.69448558650723,201.30078594533117
doc37,202.4602841342031,0.0,202.4602841342031,205.00721187317308
doc49,202.66910558977534,0.0,202.66910558977534,210.80052444657926
doc58,204.94743809208586,0.059773781087216094,205.00721187317308,208.7049597988743
doc64,208.04966962804895,0.6552901708253671,208.7049597988743,218.32796143478146
doc62,208.83767427961195,1.9628501669673142,210.80052444657926,215.7217596425717
doc43,211.25586906187812,7.647100002770742,218.90296906464886,221.272554063905
doc67,211.85066206526807,3.8710975773036296,215.7217596425717,218.90296906464886
doc70,216.8910105569104,1.4369508778710554,218.32796143478146,222.58362130896248
doc56,217.9051690723792,11.258068375572265,229.16323744795147,231.81113296941362
doc25,219.90516755957205,1.3673865043329556,221.272554063905,234.9706379119598
doc72,221.28221774045716,1.3014035685053216,222.58362130896248,229.16323744795147
doc59,229.11573226193005,2.6954007074835715,231.81113296941362,242.3326157203573
doc73,232.76510531445192,7.0802572051194375,239.84536251957135,246.19252522781562
doc76,233.79994572046445,1.1706921914953625,234.9706379119598,239.84536251957135
doc74,233.99325366634315,8.339362054014146,242.3326157203573,245.29580151891747
doc75,238.44117834931808,6.854623169599392,245.29580151891747,248.94069606542166
doc16,245.5716861261195,0.6208391016961343,246.19252522781562,250.7739252225317
doc66,253.20528759524043,0.0,253.20528759524043,261.4866374102127
doc79,263.3381781215676,0.0,263.3381781215676,266.36935340806116
doc80,266.29796428777263,0.0,266.29796428777263,272.85587221259533
doc77,268.55355795193765,0.0,268.55355795193765,272.9286641642145
doc83,273.9912596576345,0.0,273.9912596576345,282.2982124792271
doc81,277.36507524114415,0.0,277.36507524114415,288.73223503804536
doc78,277.8453679519652,4.452844527261902,282.2982124792271,291.1199393880198
doc89,291.4425968252077,0.0,291.4425968252077,293.75916193703347
doc86,295.95001291404526,0.0,295.95001291404526,298.36671322396137
doc84,302.98171482625196,0.0,302.98171482625196,309.80723303091025
doc85,305.4948398382969,0.0,305.4948398382969,314.4584701006582
doc91,309.72968688321265,0.07754614769760337,309.80723303091025,324.85420206443604
doc98,311.07081668814146,3.387653412516727,314.4584701006582,321.0800267426039
doc102,312.8061474800653,8.273879262538571,321.0800267426039,326.0940754348762
doc100,317.61895543132255,7.235246633113491,324.85420206443604,334.4270724219433
doc94,328.0697960002118,0.0,328.0697960002118,331.8396039768838
doc106,328.4075763310677,6.019496090875634,334.4270724219433,340.9992945844882
doc109,329.1155221036582,2.7240818732256002,331.8396039768838,351.30365194726903
doc93,334.12271452318987,10.700362857182142,344.823077380372,347.01416957683784
doc103,336.05631332548256,4.9429812590056486,340.9992945844882,344.823077380372
doc82,340.8876124127067,26.19878895149634,367.086401364203,372.8598519304627
doc105,345.01462620622937,8.324828437334418,353.3394546435638,357.68034201935586
doc90,345.0897139811075,1.9244555957303646,347.01416957683784,361.3018552237434
doc101,347.17480946850105,14.182669510913911,361.35747897941496,367.086401364203
doc117,348.37041483730496,2.933237109964068,351.30365194726903,353.3394546435638
doc118,350.9685092879066,13.616677641775766,364.5851869296824,367.24475616764425
doc114,354.2886586563359,3.391683363019979,357.68034201935586,361.35747897941496
doc119,357.09261567289803,4.209239550845382,361.3018552237434,364.5851869296824
doc111,358.3666339906921,8.87812217695216,367.24475616764425,370.5305867790616
doc116,360.6332011783195,9.897385600742098,370.5305867790616,373.9173598011156
doc92,362.4989599134275,13.508521268845072,376.00748118227256,380.0896373535674
doc113,370.81838330023515,3.0989765008804397,373.9173598011156,376.00748118227256
doc125,371.1910132576196,1.6688386728430942,372.8598519304627,376.0527747831457
doc122,377.1909105473613,0.0,377.1909105473613,382.1898184824022
doc130,380.7699804887392,0.0,380.7699804887392,383.4668671882662
doc128,384.20910297876935,0.0,384.20910297876935,388.3013122121618
doc124,386.94285480097994,0.0,386.94285480097994,391.1154225072544
doc127,387.22423420033743,1.0770780118243692,388.3013122121618,390.38336778969267
doc126,394.6998448439108,0.0,394.6998448439108,402.3522040869672
doc132,400.3844153913599,0.0,400.3844153913599,407.38017831739097
doc107,407.60750704543284,0.0,407.60750704543284,421.4398900536249
doc142,411.415248491891,0.0,411.415248491891,413.6789019049535
doc123,411.6202301608534,2.0586717441000815,413.6789019049535,427.3703205184482
doc136,420.82965407241807,0.610235981206813,421.4398900536249,423.58171355376084
doc96,422.1301265028414,1.4515870509194428,423.58171355376084,431.5363060260824
doc145,441.4449466056357,0.0,441.4449466056357,443.58243940449165
doc144,442.15970727535114,0.0,442.15970727535114,448.33886831285196
doc131,442.58409055093296,0.9983488535586957,443.58243940449165,450.9099117061608
doc154,450.735409673023,0.0,450.735409673023,459.6774516778336
doc155,453.7248698210835,0.0,453.7248698210835,459.7038837210644
doc158,456.37453792475844,3.3029137530751314,459.6774516778336,467.3976573604751
doc156,457.57720440387874,2.126679317185676,459.7038837210644,464.8822952309003
doc137,462.9197661381278,1.9625290927725132,464.8822952309003,474.8132301062938
doc151,462.96395008357104,4.433707276904045,467.3976573604751,478.77954821245976
doc138,466.4985311051096,12.408573625682152,478.90710473079173,481.95633106466994
doc153,471.16379435117767,3.6494357551161443,474.8132301062938,478.90710473079173
doc143,471.34876511658223,10.416983769181286,481.7657488857635,490.1803057133075
doc139,471.9051156564245,10.051215408245412,481.95633106466994,488.300651194498
doc160,476.1552484692979,2.6242997431618846,478.77954821245976,481.7657488857635
doc159,482.72538955061793,8.49114314991516,491.2165327005331,495.10355649386963
doc147,485.3613475910735,2.9393036034244915,488.300651194498,491.2165327005331
doc162,489.0262057454422,1.1540999678653066,490.1803057133075,492.85267447151796
doc165,492.91054679296764,0.0,492.91054679296764,495.08034048731395
doc166,493.26966748216864,1.8106730051453042,495.08034048731395,503.8684273842373
doc169,496.80208162121335,0.0,496.80208162121335,499.92419506326905
doc168,496.93544437513833,2.9887506881307218,499.92419506326905,508.5930216664479
doc115,501.3567116993604,7.236309967087493,508.5930216664479,511.8480284599737
doc164,503.5686995630955,0.29972782114180063,503.8684273842373,508.40987595932626
doc161,505.25951138327173,3.1503645760545282,508.40987595932626,510.77033368340244
doc108,511.2555198191623,0.0,511.2555198191623,514.0400844642764
doc175,515.9834035264195,0.0,515.9834035264195,522.9925589017253
doc174,518.1195306864624,0.0,518.1195306864624,520.9325389429406
doc171,520.8711319187705,0.06140702417008015,520.9325389429406,523.5765399167207
doc152,521.2632624984203,1.729296403304943,522.9925589017253,526.5972021406043
doc177,529.9073230342564,0.0,529.9073230342564,535.0370591406142
doc178,530.540524575753,0.0,530.540524575753,535.4689443001661
doc176,535.6202676795193,0.0,535.6202676795193,541.4895505062838
doc22,540.4608824576361,0.0,540.4608824576361,544.7746904245193
doc179,542.1592337651679,0.0,542.1592337651679,544.1656256305415
doc181,545.6454807902762,0.0,545.6454807902762,555.0298117621561
doc141,549.8874574207691,0.0,549.8874574207691,552.6156364209508
doc182,555.2695806333745,0.0,555.2695806333745,559.6596488993113
doc133,556.8740654089926,0.0,556.8740654089926,560.6917921223791
doc184,557.0199894885242,2.6396594107870897,559.6596488993113,565.8562380662155
doc188,561.3013833804614,0.0,561.3013833804614,567.7560363840098
doc193,571.2240358692948,0.0,571.2240358692948,574.0170029978503
doc187,577.1500169219823,0.0,577.1500169219823,598.3453918719065
doc191,582.2447365926416,0.0,582.2447365926416,588.3177618845667
doc192,584.0415156021107,6.365129948301046,590.4066455504118,593.8155101677864
doc200,585.3621420897963,2.9556197947704277,588.3177618845667,590.4066455504118
doc203,591.1895988341375,2.625911333648901,593.8155101677864,604.9708558795483
doc199,592.73572080449,5.609671067416457,598.3453918719065,600.7547159164493
doc189,600.3147593644344,0.43995655201490536,600.7547159164493,615.7505369838448
doc206,604.6544369282972,2.528713200172774,607.18315012847,609.4148316500127
doc204,604.713788542972,0.2570673365762559,604.9708558795483,607.18315012847
doc202,604.9927103955953,4.422121254417448,609.4148316500127,612.6452315313459
doc207,608.5478668388863,9.44378814380184,617.9916549826881,624.8851955769052
doc201,609.0231670228633,6.727369960981491,615.7505369838448,617.9916549826881
doc210,610.6721232232348,1.9731083081110228,612.6452315313459,625.9086129531556
doc205,612.6648099307141,17.623604273587716,630.2884142043018,636.6070636836353
doc195,621.7914658978192,4.1171470553364315,625.9086129531556,630.2778122139139
doc214,624.1861228847902,0.6990726921150099,624.8851955769052,630.2884142043018
doc215,629.5842405218793,0.6935716920345385,630.2778122139139,632.356818957383
doc185,632.8297595766185,0.0,632.8297595766185,639.057718802248
doc220,637.5307049022476,0.0,637.5307049022476,641.7615004187911
doc212,638.0950652213708,0.9626535808772587,639.057718802248,643.6563961249697
doc211,644.3191330663241,0.0,644.3191330663241,646.6746682147401
doc223,645.4048185756479,0.0,645.4048185756479,648.6217148669825
doc221,654.0202678377858,0.0,654.0202678377858,658.4385571243181
doc198,660.0494570893454,0.0,660.0494570893454,663.1163746851653
doc225,662.0977240425294,0.0,662.0977240425294,667.7489438985265
doc213,663.8892490372623,0.0,663.8892490372623,678.6068859674115
doc230,669.8015391243222,0.0,669.8015391243222,673.5675655046315
doc238,675.8096062666401,0.0,675.8096062666401,680.7286818018924
doc231,677.0268178860022,3.7018639158902715,680.7286818018924,683.1504986053859
doc226,677.2696203317644,1.3372656356470998,678.6068859674115,681.7764921298127
doc228,679.1494615786185,4.001037026767449,683.1504986053859,698.2409274253537
doc237,680.9599527798067,0.8165393500059963,681.7764921298127,687.2759240800682
doc232,683.936860683713,5.7722103977502,689.7090710814632,691.8464915413718
doc236,686.6839384846724,0.5919855953958404,687.2759240800682,689.7090710814632
doc194,689.2962973650195,2.5501941763523064,691.8464915413718,699.2252463638197
doc216,696.3618667270852,1.8790606982685176,698.2409274253537,705.6203274758279
doc241,699.2984225628919,0.0,699.2984225628919,702.6155008364486
doc208,706.5114839419882,0.0,706.5114839419882,708.9389499648988
doc247,711.8253767635073,0.0,711.8253767635073,715.4107455381669
doc218,712.1920044223544,0.0,712.1920044223544,715.3794270765709
doc246,720.1503061744191,0.0,720.1503061744191,722.4306457691523
doc251,721.2844854620624,0.0,721.2844854620624,727.6679772101742
doc244,732.1290026695019,0.0,732.1290026695019,739.9896605998649
