time,users,queue
20.016022678459827,1.0,0.0
22.11226160142081,0.0,0.0
22.1742723090967,1.0,0.0
24.380214214052017,2.0,0.0
26.614751694847286,1.0,0.0
27.49369781236127,2.0,0.0
28.188852888938488,2.0,1.0
29.750598400047352,2.0,2.0
30.585912411266815,1.0,2.0
30.585912411266815,2.0,1.0
33.29475325888992,1.0,1.0
33.29475325888992,2.0,0.0
33.6390991048579,1.0,0.0
33.74698365645982,2.0,0.0
35.3408209902735,2.0,1.0
35.36932151126955,2.0,2.0
36.08442173024643,1.0,2.0
36.08442173024643,2.0,1.0
36.958119844427706,2.0,2.0
41.2035740147645,1.0,2.0
41.2035740147645,2.0,1.0
43.82871726953483,1.0,1.0
43.82871726953483,2.0,0.0
46.957420162412625,1.0,0.0
51.725317533530216,2.0,0.0
54.32227496105011,1.0,0.0
56.0588580644865,2.0,0.0
57.299089357231196,1.0,0.0
58.27148651610311,0.0,0.0
68.38170026287919,1.0,0.0
73.77242548341596,2.0,0.0
73.81325621607834,1.0,0.0
75.84412157559765,2.0,0.0
77.42171479124745,1.0,0.0
83.6859015629303,0.0,0.0
84.04918820381013,1.0,0.0
89.74654071764098,0.0,0.0
90.21716815895506,1.0,0.0
93.38469809658451,0.0,0.0
102.41545712928702,1.0,0.0
105.23721344907806,0.0,0.0
107.39028836180661,1.0,0.0
108.33830919130153,2.0,0.0
113.49436713166426,1.0,0.0
118.03773904729321,0.0,0.0
124.62206730358807,1.0,0.0
128.35288763642498,0.0,0.0
136.48168128054294,1.0,0.0
137.1751939693267,2.0,0.0
140.50887576073666,2.0,1.0
140.59319066932704,1.0,1.0
140.59319066932704,2.0,0.0
141.0009342994017,1.0,0.0
144.73774268491022,2.0,0.0
144.80997140620937,2.0,1.0
147.80311126339907,1.0,1.0
147.80311126339907,2.0,0.0
149.24033301600915,1.0,0.0
156.03372473170376,2.0,0.0
159.92371068948566,2.0,1.0
160.04564184889333,1.0,1.0
160.04564184889333,2.0,0.0
160.60440623949773,1.0,0.0
162.79077487524867,2.0,0.0
163.7423015877841,1.0,0.0
170.81874179883744,2.0,0.0
174.22311936948861,1.0,0.0
175.5264488329648,0.0,0.0
179.5860154737718,1.0,0.0
180.1658703895458,2.0,0.0
180.33488472222825,2.0,1.0
184.21564504872842,1.0,1.0
184.21564504872842,2.0,0.0
185.92936177508952,2.0,1.0
186.58155690454308,1.0,1.0
186.58155690454308,2.0,0.0
187.23579263023356,2.0,1.0
187.90089284494331,1.0,1.0
187.90089284494331,2.0,0.0
192.71896112680813,2.0,1.0
193.33552681555173,1.0,1.0
193.33552681555173,2.0,0.0
193.82622538811,2.0,1.0
195.00579502852548,2.0,2.0
198.59246986692648,1.0,2.0
198.59246986692648,2.0,1.0
198.69448558650723,1.0,1.0
198.69448558650723,2.0,0.0
201.30078594533117,1.0,0.0
202.4602841342031,2.0,0.0
202.56963027755913,1.0,0.0
202.66910558977534,2.0,0.0
204.94743809208586,2.0,1.0
205.00721187317308,1.0,1.0
205.00721187317308,2.0,0.0
208.04966962804895,2.0,1.0
208.7049597988743,1.0,1.0
208.7049597988743,2.0,0.0
208.83767427961195,2.0,1.0
210.80052444657926,1.0,1.0
210.80052444657926,2.0,0.0
211.25586906187812,2.0,1.0
211.85066206526807,2.0,2.0
215.7217596425717,1.0,2.0
215.7217596425717,2.0,1.0
216.8910105569104,2.0,2.0
217.9051690723792,2.0,3.0
218.32796143478146,1.0,3.0
218.32796143478146,2.0,2.0
218.90296906464886,1.0,2.0
218.90296906464886,2.0,1.0
219.90516755957205,2.0,2.0
221.272554063905,1.0,2.0
221.272554063905,2.0,1.0
221.28221774045716,2.0,2.0
222.58362130896248,1.0,2.0
222.58362130896248,2.0,1.0
229.11573226193005,2.0,2.0
229.16323744795147,1.0,2.0
229.16323744795147,2.0,1.0
231.81113296941362,1.0,1.0
231.81113296941362,2.0,0.0
232.76510531445192,2.0,1.0
233.79994572046445,2.0,2.0
233.99325366634315,2.0,3.0
234.9706379119598,1.0,3.0
234.9706379119598,2.0,2.0
238.44117834931808,2.0,3.0
239.84536251957135,1.0,3.0
239.84536251957135,2.0,2.0
242.3326157203573,1.0,2.0
242.3326157203573,2.0,1.0
245.29580151891747,1.0,1.0
245.29580151891747,2.0,0.0
245.5716861261195,2.0,1.0
246.19252522781562,1.0,1.0
246.19252522781562,2.0,0.0
248.94069606542166,1.0,0.0
250.7739252225317,0.0,0.0
253.20528759524043,1.0,0.0
261.4866374102127,0.0,0.0
263.3381781215676,1.0,0.0
266.29796428777263,2.0,0.0
266.36935340806116,1.0,0.0
268.55355795193765,2.0,0.0
272.85587221259533,1.0,0.0
272.9286641642145,0.0,0.0
273.9912596576345,1.0,0.0
277.36507524114415,2.0,0.0
277.8453679519652,2.0,1.0
282.2982124792271,1.0,1.0
282.2982124792271,2.0,0.0
288.73223503804536,1.0,0.0
291.1199393880198,0.0,0.0
291.4425968252077,1.0,0.0
293.75916193703347,0.0,0.0
295.95001291404526,1.0,0.0
298.36671322396137,0.0,0.0
302.98171482625196,1.0,0.0
305.4948398382969,2.0,0.0
309.72968688321265,2.0,1.0
309.80723303091025,1.0,1.0
309.80723303091025,2.0,0.0
311.07081668814146,2.0,1.0
312.8061474800653,2.0,2.0
314.4584701006582,1.0,2.0
314.4584701006582,2.0,1.0
317.61895543132255,2.0,2.0
321.0800267426039,1.0,2.0
321.0800267426039,2.0,1.0
324.85420206443604,1.0,1.0
324.85420206443604,2.0,0.0
326.0940754348762,1.0,0.0
328.0697960002118,2.0,0.0
