time,users,queue
0.0,1.0,0.0
4.76408101250547,0.0,0.0
6.983029253033456,1.0,0.0
10.175263021393935,2.0,0.0
12.358510838917184,1.0,0.0
12.726496319979429,2.0,0.0
13.730135924748776,2.0,1.0
16.941272514710363,1.0,1.0
16.941272514710363,2.0,0.0
17.63192116661937,2.0,1.0
20.187638001444295,1.0,1.0
20.187638001444295,2.0,0.0
20.712516422512216,2.0,1.0
20.71718967878523,1.0,1.0
20.71718967878523,2.0,0.0
21.669381184803516,2.0,1.0
21.818138324399246,2.0,2.0
22.744126815356942,1.0,2.0
22.744126815356942,2.0,1.0
23.680026625196945,1.0,1.0
23.680026625196945,2.0,0.0
25.450037864583642,2.0,1.0
25.470851873832686,2.0,2.0
27.9094204745605,1.0,2.0
27.9094204745605,2.0,1.0
28.902716473191727,2.0,2.0
29.078219955680638,2.0,3.0
29.21326313394691,1.0,3.0
29.21326313394691,2.0,2.0
31.52613752009041,1.0,2.0
31.52613752009041,2.0,1.0
38.17275486861277,1.0,1.0
38.17275486861277,2.0,0.0
38.22795003187217,2.0,1.0
39.23562009369047,2.0,2.0
39.76482282725049,2.0,3.0
40.141758422747834,1.0,3.0
40.141758422747834,2.0,2.0
40.23411272219869,1.0,2.0
40.23411272219869,2.0,1.0
42.99374814819972,1.0,1.0
42.99374814819972,2.0,0.0
45.274429291757805,1.0,0.0
46.45516201629361,0.0,0.0
49.70794124507217,1.0,0.0
52.0073587625091,2.0,0.0
54.470308382715174,1.0,0.0
55.18539735644746,2.0,0.0
56.0215514850793,2.0,1.0
57.44227913558961,1.0,1.0
57.44227913558961,2.0,0.0
57.45163826987863,1.0,0.0
61.23599499493578,0.0,0.0
69.60153420048218,1.0,0.0
69.6268957629868,2.0,0.0
69.66973771482498,2.0,1.0
72.58790133649461,1.0,1.0
72.58790133649461,2.0,0.0
74.5995854355093,2.0,1.0
75.7237042356102,1.0,1.0
75.7237042356102,2.0,0.0
75.86406963130219,1.0,0.0
77.95922832940342,0.0,0.0
84.3766504309389,1.0,0.0
84.54820923877878,2.0,0.0
85.13517789148368,2.0,1.0
85.44625264829004,2.0,2.0
85.59035372499284,2.0,3.0
86.59241138864719,1.0,3.0
86.59241138864719,2.0,2.0
86.8890918233189,2.0,3.0
89.88146292318918,1.0,3.0
89.88146292318918,2.0,2.0
92.18777466782404,1.0,2.0
92.18777466782404,2.0,1.0
93.35880173554871,1.0,1.0
93.35880173554871,2.0,0.0
95.62305661513447,1.0,0.0
96.37013141392768,0.0,0.0
102.11260487997458,1.0,0.0
103.14618097878349,2.0,0.0
105.84302800074566,2.0,1.0
106.81535263215699,2.0,2.0
106.9568199783827,1.0,2.0
106.9568199783827,2.0,1.0
107.16535889199757,1.0,1.0
107.16535889199757,2.0,0.0
109.32112142732005,1.0,0.0
110.12532003368318,0.0,0.0
111.92760368715628,1.0,0.0
114.05902072976696,2.0,0.0
115.92565006245336,2.0,1.0
116.18808105043172,1.0,1.0
116.18808105043172,2.0,0.0
118.41634793024787,2.0,1.0
118.50446894434029,1.0,1.0
118.50446894434029,2.0,0.0
119.97341903733658,1.0,0.0
120.15948543316972,2.0,0.0
121.44163175925866,1.0,0.0
121.66236185007189,2.0,0.0
123.36484879081544,2.0,1.0
123.94807685536593,1.0,1.0
123.94807685536593,2.0,0.0
123.96783521811469,1.0,0.0
125.10808208877056,2.0,0.0
125.22988304592158,2.0,1.0
126.52646818714226,2.0,2.0
127.27377543099888,1.0,2.0
127.27377543099888,2.0,1.0
129.3888321643413,1.0,1.0
129.3888321643413,2.0,0.0
131.76226762254848,1.0,0.0
132.43042753940114,2.0,0.0
135.02473353339354,2.0,1.0
136.04007881322457,1.0,1.0
136.04007881322457,2.0,0.0
138.437673211925,2.0,1.0
139.0903075649572,1.0,1.0
139.0903075649572,2.0,0.0
141.10480895520666,1.0,0.0
142.57408114413641,2.0,0.0
142.65880048187964,2.0,1.0
143.3316742674556,1.0,1.0
143.3316742674556,2.0,0.0
143.41849599498255,2.0,1.0
145.99607088888888,1.0,1.0
145.99607088888888,2.0,0.0
147.49676096872878,1.0,0.0
148.67729125560524,2.0,0.0
149.39058530387993,1.0,0.0
149.93483410369572,2.0,0.0
150.94455074680303,2.0,1.0
154.27258117899396,2.0,2.0
154.5379676716213,2.0,3.0
154.69832177403168,1.0,3.0
154.69832177403168,2.0,2.0
155.20620967677252,1.0,2.0
155.20620967677252,2.0,1.0
157.2699280145785,2.0,2.0
159.61413574463143,2.0,3.0
160.49781983257117,1.0,3.0
160.49781983257117,2.0,2.0
160.70818410847625,1.0,2.0
160.70818410847625,2.0,1.0
164.40738687804264,1.0,1.0
164.40738687804264,2.0,0.0
166.24827877992885,1.0,0.0
168.0236076425066,0.0,0.0
168.08007907880676,1.0,0.0
169.48790804724638,2.0,0.0
169.65409676776156,2.0,1.0
172.2788547495074,1.0,1.0
172.2788547495074,2.0,0.0
173.56214206941905,2.0,1.0
