name,come,wait,begin,finish,t_relax_time
doc234,664.5522182347119,19.241785243314666,683.7940034780265,693.7670717950966,82.65336109041648
doc235,664.9926236560952,10.617782524276322,675.6104061803716,683.7940034780265,82.26107268232856
doc236,665.3883930612176,3.684185608629491,669.0725786698471,673.674662084946,72.36805703275377
doc237,666.7359387454162,4.700449338940416,671.4363880843566,675.6104061803716,76.77731115828834
doc238,666.9576457378638,0.08650806090236074,667.0441537987662,669.0725786698471,72.2958943521653
doc239,668.7546517645754,4.920010320370579,673.674662084946,678.7669161422248,81.80770241058275
doc240,676.6753830684316,8.611541609270489,685.2869246777021,693.5216263845441,85.27402697801412
doc241,677.3447236322819,1.4221925099428745,678.7669161422248,685.2869246777021,78.38641731396075
doc242,685.8238890087073,12.53570192167399,698.3595909303813,706.7871351250715,77.16338156150658
doc243,686.8862794838678,12.370968265873785,699.2572477497416,704.2818752907525,78.41764594448577
doc244,688.670424676367,18.116710448704453,706.7871351250715,710.7776975577209,80.04232260742843
doc245,690.833882919089,19.94381463863192,710.7776975577209,712.9900467299456,84.89671256304386
doc246,691.0283264204588,2.7387453746378014,693.7670717950966,698.3595909303813,73.45485334491725
doc247,692.7813521070038,0.7402742775402658,693.5216263845441,699.2572477497416,73.36080116111488
doc248,696.2583776066733,13.716364994347828,709.9747426010211,715.9223823206214,80.91671135158067
doc249,696.4534561691715,16.536590560774016,712.9900467299456,715.1458649002459,85.22038346401675
doc250,696.5580699251219,19.364312395499496,715.9223823206214,718.7832040465795,86.62686966618074
doc251,702.8323741348348,1.4495011559176874,704.2818752907525,709.9747426010211,76.95951068130243
doc252,707.4553598383521,7.690505061893759,715.1458649002459,719.067295008699,86.15718717189193
doc253,719.699572731872,0.0,719.699572731872,728.4911569769048,82.01411552611762
doc254,721.7692410411344,0.0,721.7692410411344,726.6978766958568,62.781540342138435
doc255,727.0672024953889,0.0,727.0672024953889,731.0685964046631,76.57738361319346
doc256,727.3353362359616,1.155820740943227,728.4911569769048,733.7366281586646,72.25208869641077
doc257,728.8427238510881,2.2258725535750727,731.0685964046631,733.1348939187924,76.40659838872494
doc258,729.60198494479,3.532908974002339,733.1348939187924,735.6839292403565,81.35791451541735
doc259,734.2807854670667,0.0,734.2807854670667,740.6920906918303,80.20677781696376
doc260,739.1114034985397,0.0,739.1114034985397,743.8496049890326,80.68189499243294
doc261,739.5466713276832,6.687661968283237,746.2343332959664,749.3064763995072,84.24504831653222
doc262,739.6954000678738,4.154204921158794,743.8496049890326,749.7041071741456,83.8573648708496
doc263,740.0859600103927,9.618147163752951,749.7041071741456,751.7764982579855,84.6181073886254
doc264,740.4751752654668,0.21691542636358463,740.6920906918303,746.2343332959664,70.87859630066404
doc265,746.6628674825454,2.6436089169618526,749.3064763995072,752.8634705888808,74.40401870963136
doc266,751.1098065779338,0.6666916800517129,751.7764982579855,753.8556021533409,74.21437882160177
doc267,751.6203109887279,1.2431596001529215,752.8634705888808,756.2064055712278,81.02612853567426
doc268,756.4681381569909,0.0,756.4681381569909,758.9429300315336,84.10353130676579
doc269,759.1565259079973,0.0,759.1565259079973,767.795140449617,81.3213716925025
doc270,766.9122528063671,0.0,766.9122528063671,771.4952891333993,78.12636281750396
doc271,768.9463926574143,0.0,768.9463926574143,772.6126597704492,87.12826552151594
doc272,770.2818707228445,1.213418410554823,771.4952891333993,774.5118854184002,90.57557236620251
doc273,779.7947908394168,0.0,779.7947908394168,781.9886168226509,73.78181339132952
