time,users,queue
22.11226160142081,1.0,0.0
25.18701176517027,0.0,0.0
26.614751694847286,1.0,0.0
30.585912411266815,2.0,0.0
33.29475325888992,3.0,0.0
33.6390991048579,4.0,0.0
35.33548340827114,3.0,0.0
36.08442173024643,4.0,0.0
38.63645506998212,3.0,0.0
40.61814225275934,2.0,0.0
41.2035740147645,3.0,0.0
41.64031399235209,2.0,0.0
43.82871726953483,3.0,0.0
45.01825748494759,2.0,0.0
46.957420162412625,3.0,0.0
50.70494455548115,2.0,0.0
52.32780434840796,1.0,0.0
54.32227496105011,2.0,0.0
57.299089357231196,3.0,0.0
58.27148651610311,4.0,0.0
58.48084910201914,3.0,0.0
63.37097433091732,2.0,0.0
68.79029416856272,1.0,0.0
73.81325621607834,2.0,0.0
76.15758971197684,1.0,0.0
77.42171479124745,2.0,0.0
82.81244001178422,1.0,0.0
83.6859015629303,2.0,0.0
89.74654071764098,3.0,0.0
93.38469809658451,4.0,0.0
97.95160734585346,3.0,0.0
99.20120833075782,2.0,0.0
99.55267805172944,1.0,0.0
105.23721344907806,2.0,0.0
113.49436713166426,3.0,0.0
118.03773904729321,4.0,0.0
118.46919836418385,3.0,0.0
119.38826471578011,2.0,0.0
128.35288763642498,3.0,0.0
133.88024509494912,2.0,0.0
136.1588800796397,1.0,0.0
140.59319066932704,2.0,0.0
141.0009342994017,3.0,0.0
144.63664574871152,2.0,0.0
147.80311126339907,3.0,0.0
149.24033301600915,4.0,0.0
160.04564184889333,4.0,1.0
160.60440623949773,4.0,2.0
163.7423015877841,4.0,3.0
169.3560083973313,3.0,3.0
169.3560083973313,4.0,2.0
170.7858399069218,3.0,2.0
170.7858399069218,4.0,1.0
174.22311936948861,4.0,2.0
175.5264488329648,4.0,3.0
178.42061734380448,3.0,3.0
178.42061734380448,4.0,2.0
184.21564504872842,4.0,3.0
184.54197640190674,3.0,3.0
184.54197640190674,4.0,2.0
186.58155690454308,4.0,3.0
187.90089284494331,4.0,4.0
193.33552681555173,4.0,5.0
198.59246986692648,4.0,6.0
198.69448558650723,4.0,7.0
201.30078594533117,4.0,8.0
202.56963027755913,4.0,9.0
204.20428118619287,3.0,9.0
204.20428118619287,4.0,8.0
204.7297109385102,3.0,8.0
204.7297109385102,4.0,7.0
205.00721187317308,4.0,8.0
208.7049597988743,4.0,9.0
210.80052444657926,4.0,10.0
215.7217596425717,4.0,11.0
218.32796143478146,4.0,12.0
218.90296906464886,4.0,13.0
218.96992085284842,3.0,13.0
218.96992085284842,4.0,12.0
221.272554063905,4.0,13.0
222.58362130896248,4.0,14.0
225.34955441633977,3.0,14.0
225.34955441633977,4.0,13.0
228.33642684403492,3.0,13.0
228.33642684403492,4.0,12.0
229.16323744795147,4.0,13.0
231.81113296941362,4.0,14.0
232.25312895964922,3.0,14.0
232.25312895964922,4.0,13.0
234.9706379119598,4.0,14.0
236.36439376762368,3.0,14.0
236.36439376762368,4.0,13.0
236.64433614319597,3.0,13.0
236.64433614319597,4.0,12.0
239.84536251957135,4.0,13.0
241.4682675691436,3.0,13.0
241.4682675691436,4.0,12.0
242.3326157203573,4.0,13.0
243.75148855538848,3.0,13.0
243.75148855538848,4.0,12.0
245.29580151891747,4.0,13.0
245.8805366910145,3.0,13.0
245.8805366910145,4.0,12.0
246.03471407426093,3.0,12.0
246.03471407426093,4.0,11.0
246.19252522781562,4.0,12.0
248.94069606542166,4.0,13.0
249.13205259366208,3.0,13.0
249.13205259366208,4.0,12.0
250.7739252225317,4.0,13.0
251.6291911271222,3.0,13.0
251.6291911271222,4.0,12.0
253.98599554915089,3.0,12.0
253.98599554915089,4.0,11.0
257.11235962369676,3.0,11.0
257.11235962369676,4.0,10.0
258.208485847098,3.0,10.0
258.208485847098,4.0,9.0
261.4866374102127,4.0,10.0
266.36935340806116,4.0,11.0
267.0498267759595,3.0,11.0
267.0498267759595,4.0,10.0
268.33611294919115,3.0,10.0
268.33611294919115,4.0,9.0
268.84593179122356,3.0,9.0
268.84593179122356,4.0,8.0
272.85587221259533,4.0,9.0
272.9286641642145,4.0,10.0
276.5092423524734,3.0,10.0
276.5092423524734,4.0,9.0
276.97017169528425,3.0,9.0
276.97017169528425,4.0,8.0
277.1827173022867,3.0,8.0
277.1827173022867,4.0,7.0
282.2982124792271,4.0,8.0
283.2786026650765,3.0,8.0
283.2786026650765,4.0,7.0
288.2502105822468,3.0,7.0
288.2502105822468,4.0,6.0
288.71630437077334,3.0,6.0
288.71630437077334,4.0,5.0
288.73223503804536,4.0,6.0
291.1199393880198,4.0,7.0
292.60745356051143,3.0,7.0
292.60745356051143,4.0,6.0
293.75916193703347,4.0,7.0
294.8995105927479,3.0,7.0
294.8995105927479,4.0,6.0
297.2355205141265,3.0,6.0
297.2355205141265,4.0,5.0
298.36671322396137,4.0,6.0
300.6093360976362,3.0,6.0
300.6093360976362,4.0,5.0
308.4967394659904,3.0,5.0
308.4967394659904,4.0,4.0
309.80723303091025,4.0,5.0
314.4584701006582,4.0,6.0
319.1942737705373,3.0,6.0
319.1942737705373,4.0,5.0
321.0800267426039,4.0,6.0
322.58482557276153,3.0,6.0
322.58482557276153,4.0,5.0
324.85420206443604,4.0,6.0
326.0940754348762,4.0,7.0
328.154130060781,3.0,7.0
328.154130060781,4.0,6.0
331.8396039768838,4.0,7.0
332.01164316315857,3.0,7.0
332.01164316315857,4.0,6.0
334.4270724219433,4.0,7.0
334.90210211774166,3.0,7.0
334.90210211774166,4.0,6.0
339.32295080492696,3.0,6.0
339.32295080492696,4.0,5.0
340.9992945844882,4.0,6.0
342.2130454356953,3.0,6.0
342.2130454356953,4.0,5.0
344.823077380372,4.0,6.0
347.01416957683784,4.0,7.0
351.30365194726903,4.0,8.0
351.901081429812,3.0,8.0
351.901081429812,4.0,7.0
353.3394546435638,4.0,8.0
357.68034201935586,4.0,9.0
360.8909348835503,3.0,9.0
360.8909348835503,4.0,8.0
361.3018552237434,4.0,9.0
361.3509354872666,3.0,9.0
361.3509354872666,4.0,8.0
361.35747897941496,4.0,9.0
363.3976481021476,3.0,9.0
363.3976481021476,4.0,8.0
364.5851869296824,4.0,9.0
365.70374283480754,3.0,9.0
365.70374283480754,4.0,8.0
367.086401364203,4.0,9.0
367.24475616764425,4.0,10.0
368.984443691005,3.0,10.0
368.984443691005,4.0,9.0
370.5305867790616,4.0,10.0
372.8598519304627,4.0,11.0
373.9173598011156,4.0,12.0
376.0067013434063,3.0,12.0
376.0067013434063,4.0,11.0
376.00748118227256,4.0,12.0
376.0527747831457,4.0,13.0
376.7986943457768,3.0,13.0
376.7986943457768,4.0,12.0
376.9709610162758,3.0,12.0
376.9709610162758,4.0,11.0
